real,imag,status
124.912,11.992,KO
125.229,9.854,KO
125.495,9.536,KO
125.222,9.444,KO
57.596,6.008,KO
125.041,9.394,KO
124.368,9.067,KO
124.136,9.698,KO
42.829,-28.426,NB
40.536,-34.538,NB
41.645,-39.149,NB
43.776,-34.594,NB
41.965,-31.384,NB
43.784,-30.114,NB
42.021,-35.310,NB
41.969,-37.127,NB
41.772,-33.160,NB
41.603,-34.736,NB
42.458,-31.237,NB
43.766,-31.994,NB
41.243,-32.434,NB
40.038,-33.903,NB
41.236,-33.435,NB
42.369,-29.929,NB
41.081,-29.599,NB
41.836,-31.621,NB
49.643,0.538,NB
42.790,-31.629,NB
41.807,-65.667,OK
43.351,-72.252,OK
45.358,-72.497,OK
77.368,-104.138,OK
38.382,-52.846,OK
42.465,-56.946,OK
37.322,-61.330,OK
39.045,-63.669,OK
36.844,-67.683,OK
39.434,-58.737,OK
72.308,-104.719,OK
40.852,-66.486,OK
57.772,-108.299,ROB
50.905,-12.340,ROB
132.363,-1.280,ROB
80.786,-107.900,ROB
50.366,-106.558,ROB
68.360,-109.862,ROB
60.637,-98.062,ROB
61.297,-95.596,ROB
86.588,27.913,ROB
48.886,-92.856,ROB
55.205,-93.686,ROB
